"","rank","port","economy","lon","lat","port_label","year","volume"
"134",34,"Colombo","Sri Lanka",79.861243,6.9270786,"Colombo","2012[3]","4,180"
"135",35,"Santos","Brazil",-46.3288865,-23.9678823,"Santos","2012[3]","3,172"
"136",36,"Felixstowe","United Kingdom",1.351255,51.961726,"Felixstowe","2012[3]","3,700"
"137",37,"Manila","Philippines",120.9842195,14.5995124,"Manila","2012[3]","3,705"
"138",38,"Seattle/Tacoma","United States",-122.3088165,47.4502499,"Seattle/Tacoma","2012[3]","3,510"
"139",39,"Ambarli (Istanbul)","Turkey",28.7110539,40.9767748,"Istanbul","2012[3]","3,097"
"140",40,"Tanger-Med (Tangiers)","Morocco",-5.7155548,35.7239191,"Tangiers","2012[3]","1,900"
"141",41,"Savannah","United States",-81.0998342,32.0835407,"Savannah","2012[3]","2,966"
"142",42,"Balboa","Panama",-117.924131,33.607795,"Balboa","2012[3]","3,251"
"143",43,"Gioia Tauro","Italy",15.8988669,38.4262258,"Gioia Tauro","2012[3]","2,721"
"144",44,"Port Said","Egypt",32.3018661,31.2652893,"Port Said","2012[3]","3,631"
"145",45,"Salalah","Oman",54.1065864,17.0506675,"Salalah","2012[3]","3,620"
"146",46,"Keelung","Taiwan",121.7391833,25.1276033,"Keelung","2012[3]","2,705"
"147",47,"Vancouver","Canada",-123.1207375,49.2827291,"Vancouver","2012[3]","2,713"
"148",48,"Malta Freeport","Malta",14.537637,35.816287,"Malta Freeport","2012[3]","2,540"
"149",49,"Yokohama","Japan",139.6380256,35.4437078,"Yokohama","2012[3]","3,053"
"150",50,"Nagoya","Japan",136.906398,35.1814464,"Nagoya","2012[3]","2,655"
"151",1,"Shanghai","China",121.473701,31.230416,"Shanghai","2011[4]","31,700"
"152",2,"Singapore","Singapore",103.819836,1.352083,"Singapore","2011[4]","29,937"
"153",3,"Shenzhen","China",114.057865,22.543096,"Shenzhen","2011[4]","22,570"
"154",4,"Hong Kong","China",114.109497,22.396428,"Hong Kong","2011[4]","24,384"
"155",5,"Ningbo-Zhoushan","China",121.9880433,29.9016199,"Ningbo/Z-shan","2011[4]","14,686"
"156",6,"Busan","South Korea",129.0756416,35.1795543,"Busan","2011[4]","16,185"
"157",7,"Qingdao","China",120.382609,36.067108,"Qingdao","2011[4]","13,020"
"158",8,"Guangzhou","China",113.264385,23.12911,"Guangzhou","2011[4]","14,400"
